DATE,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,conditions,tempmax_humidity,tempmin_humidity,temp_humidity,temp_range,heat_index
1/1/2021,18.1,3.7,10.2,18.1,3.7,10.2,79.2,0.0,0,0.0,11.2,1017.9,Clear,1433.52,293.04,807.84,14.4,319.1369089
1/2/2021,19.0,7.8,13.4,19.0,7.8,13.4,77.8,0.911,100,8.33,16.6,1016.1,"Rain, Partially cloudy",1478.2,606.84,1042.52,11.2,291.0625645
1/3/2021,17.0,11.1,13.9,17.0,11.1,13.9,90.1,36.462,100,12.5,16.6,1014.6,"Rain, Partially cloudy",1531.7,1000.11,1252.39,5.9,286.7089586
1/4/2021,21.6,12.2,16.2,21.6,12.2,16.2,94.2,5.598,100,12.5,18.4,1016.1,"Rain, Partially cloudy",2034.72,1149.24,1526.04,9.4,263.4465755
1/5/2021,20.6,14.5,17.1,20.6,14.5,17.1,93.8,1.28,100,8.33,14.8,1015.5,"Rain, Partially cloudy",1932.28,1360.1,1603.98,6.1,256.1871995
1/6/2021,20.3,15.0,16.5,20.3,15.0,16.5,95.2,57.552,100,12.5,12.6,1015.0,"Rain, Partially cloudy",1932.56,1428.0,1570.8,5.3,259.8247037
1/7/2021,19.4,12.5,16.3,19.4,12.5,16.3,90.6,0.0,0,0.0,11.2,1015.0,Partially cloudy,1757.64,1132.5,1476.78,6.9,265.6574742
1/8/2021,16.3,11.4,13.5,16.3,11.4,13.5,92.2,0.0,0,0.0,9.3,1014.7,Partially cloudy,1502.86,1051.08,1244.7,4.9,288.9413777
1/9/2021,19.4,11.0,14.6,19.4,11.0,14.6,90.5,0.0,0,0.0,11.2,1015.4,Partially cloudy,1755.7,995.5,1321.3,8.4,280.3225018
1/10/2021,15.2,9.0,11.4,15.2,6.7,10.7,86.8,0.0,0,0.0,16.6,1016.1,Partially cloudy,1319.36,781.2,989.52,6.2,310.2879194
1/11/2021,16.6,7.0,11.2,16.6,5.2,10.6,86.2,0.0,0,0.0,16.6,1016.6,Partially cloudy,1430.92,603.4,965.44,9.6,312.1677539
1/12/2021,16.0,6.2,10.5,16.0,6.1,10.4,85.5,0.0,0,0.0,16.2,1017.0,Clear,1368.0,530.1,897.75,9.8,318.5743776
1/13/2021,16.1,4.9,10.0,16.1,4.9,9.5,84.4,0.0,0,0.0,11.9,1016.1,Clear,1358.84,413.56,844.0,11.2,323.0509821
1/14/2021,19.0,4.5,11.2,19.0,4.5,11.2,84.1,0.0,0,0.0,7.6,1015.9,Partially cloudy,1597.9,378.45,941.92,14.5,312.106931
1/15/2021,21.0,7.8,13.1,21.0,7.8,13.1,85.6,0.0,0,0.0,7.6,1014.4,Partially cloudy,1797.6,667.68,1121.36,13.2,295.2704343
1/16/2021,16.9,8.0,11.1,16.9,6.8,10.9,89.4,0.0,0,0.0,10.8,1013.2,Partially cloudy,1510.86,715.2,992.34,8.9,312.4170578
1/17/2021,14.1,6.0,10.3,14.1,4.4,9.9,90.6,0.0,0,0.0,20.5,1015.5,Partially cloudy,1277.46,543.6,933.18,8.1,319.4699424
