date,AQI,PM2.5,PM10,NO2,SO2,CO,Ozone,fire_count,total_frp,mean_frp,max_frp,mean_wind_kmh,std_wind_kmh,total_frp_lag1,fire_count_lag1,mean_wind_lag1,fire_count_fw,total_frp_fw,weighted_frp_fw,mean_dist_km,min_dist_km,mean_bearing_deg,mean_wind_dir_deg,mean_wind_dir_cos,mean_wind_dir_sin,weighted_frp_lag1,fire_wind_ang_diff,fire_wind_alignment,fire_wind_alignment01,weighted_frp_aligned
2021-01-01,462,408.8,442.42,160.61,12.95,2.77,43.19,26.0,96.4,3.7076923076923074,8.1,3.3842808656234324,5.226598589918819,0.0,0.0,3.384280865623432,26.0,96.39999999999999,0.5184214228064065,274.12619003175183,38.91354517497094,166.39133210802606,,,,0.0,,,,
2021-01-02,482,404.04,561.95,52.85,5.18,2.6,16.43,2.0,1.6,0.8,0.97,3.3842808656234324,5.226598589918819,96.4,26.0,3.3842808656234324,2.0,1.6,0.03903987764068188,39.62196010799281,37.33283287667005,317.1791671658684,,,,0.5184214228064065,,,,
2021-01-03,263,225.07,239.04,170.95,10.93,1.4,44.29,11.0,24.35,2.213636363636364,7.19,3.3842808656234324,5.226598589918819,1.6,2.0,3.3842808656234324,11.0,24.35,0.1234939675888442,242.65167177027618,65.36116672160983,148.42473815395346,,,,0.03903987764068188,,,,
2021-01-04,207,89.55,132.08,153.98,10.42,1.01,49.19,13.0,55.6,4.276923076923077,8.0,3.3842808656234324,5.226598589918819,24.35,11.0,3.3842808656234324,13.0,55.6,0.4775213686128653,132.18706568051473,65.97462544342312,176.61892278633468,,,,0.1234939675888442,,,,
2021-01-05,149,54.06,55.54,122.66,9.7,0.64,48.88,0.0,0.0,0.0,0.0,3.3842808656234324,5.226598589918819,55.6,13.0,3.3842808656234324,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.4775213686128653,,,,
2021-01-06,252,155.59,180.14,142.71,10.29,1.18,44.47,4.0,5.78,1.445,2.19,3.3842808656234324,5.226598589918819,0.0,0.0,3.3842808656234324,4.0,5.78,0.034565604288901916,215.41826515503587,146.6427237413447,189.2344116710509,,,,0.0,,,,
2021-01-07,288,118.39,131.18,98.87,9.81,0.73,48.6,4.0,2.6,0.65,0.92,3.3842808656234324,5.226598589918819,5.78,4.0,3.3842808656234324,4.0,2.6,0.011279485780890072,253.94334959497152,137.2164748098005,161.7567201563014,,,,0.034565604288901916,,,,
2021-01-08,248,140.05,184.29,102.61,10.34,0.79,43.06,20.0,40.73,2.0365,5.6,3.3842808656234324,5.226598589918819,2.6,4.0,3.3842808656234324,20.0,40.73,0.23782828021311536,267.76330090295426,7.690487591758403,178.51109972864504,,,,0.011279485780890072,,,,
2021-01-09,326,144.01,192.43,108.43,10.41,0.85,42.23,8.0,33.93,4.24125,7.25,3.3842808656234324,5.226598589918819,40.73,20.0,3.3842808656234324,8.0,33.93,0.1379383154514848,296.3482178073229,163.80230697957268,176.75773142370463,,,,0.23782828021311536,,,,
2021-01-10,284,131.57,180.38,93.31,9.92,0.69,51.96,12.0,26.46,2.205,4.58,3.3842808656234324,5.226598589918819,33.93,8.0,3.3842808656234324,12.0,26.46,0.09960661892052543,304.39329322309436,49.426681020770936,176.73484993677403,,,,0.1379383154514848,,,,
