latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.59105,76.71239,333.82,0.38,0.36,2024-01-01,756,N20,VIIRS,n,2,296.47,2.6,D,0
32.42054,76.44252,347.59,0.38,0.36,2024-01-01,756,N20,VIIRS,n,2,289.27,11.36,D,0
32.41993,76.43851,352.37,0.38,0.36,2024-01-01,756,N20,VIIRS,n,2,308.38,17.32,D,0
32.42319,76.43782,329.83,0.38,0.36,2024-01-01,756,N20,VIIRS,n,2,285.61,17.32,D,0
32.42258,76.43382,342.17,0.38,0.36,2024-01-01,756,N20,VIIRS,n,2,300.39,17.32,D,0
32.28266,76.65106,301.12,0.34,0.56,2024-01-02,2000,N20,VIIRS,n,2,274.79,0.91,N,0
30.98686,76.44341,327.65,0.34,0.56,2024-01-03,718,N20,VIIRS,n,2,286.98,1.43,D,0
31.15966,75.80514,325.57,0.36,0.58,2024-01-03,718,N20,VIIRS,n,2,287.25,1.79,D,0
29.90742,74.94805,330.75,0.59,0.53,2024-01-04,840,N20,VIIRS,n,2,284.82,24.56,D,2
29.90798,74.95419,347.08,0.59,0.53,2024-01-04,840,N20,VIIRS,n,2,293.02,24.56,D,2
29.90641,74.95329,352.84,0.59,0.53,2024-01-04,840,N20,VIIRS,n,2,288.4,20.51,D,0
29.91128,74.95275,352.65,0.59,0.53,2024-01-04,840,N20,VIIRS,n,2,287.21,27.46,D,2
29.91042,74.95236,304.26,0.52,0.42,2024-01-04,2104,N20,VIIRS,n,2,279.46,0.95,N,2
32.05173,76.86368,328.25,0.43,0.46,2024-01-05,821,N20,VIIRS,n,2,279.63,3.17,D,0
32.49773,76.32416,305.43,0.39,0.36,2024-01-05,2044,N20,VIIRS,n,2,272.84,0.89,N,0
32.31846,76.54273,297.35,0.39,0.36,2024-01-05,2044,N20,VIIRS,n,2,271.62,0.75,N,0
29.90984,74.94777,305.47,0.38,0.36,2024-01-05,2045,N20,VIIRS,n,2,279.77,0.79,N,2
32.42911,76.61963,329.41,0.4,0.37,2024-01-06,802,N20,VIIRS,n,2,295.24,27.03,D,0
32.49715,76.33047,345.9,0.39,0.37,2024-01-06,803,N20,VIIRS,n,2,303.44,4.28,D,0
32.49654,76.32622,334.54,0.39,0.37,2024-01-06,803,N20,VIIRS,n,2,306.72,4.28,D,0
32.48826,76.40204,340.85,0.45,0.39,2024-01-07,744,N20,VIIRS,n,2,291.32,7.44,D,0
32.20633,76.41189,344.48,0.52,0.5,2024-01-08,725,N20,VIIRS,n,2,280.05,7.53,D,0
32.46828,76.39469,332.56,0.48,0.64,2024-01-09,847,N20,VIIRS,n,2,291.79,5.34,D,0
31.8184,76.66818,296.87,0.48,0.48,2024-01-09,2109,N20,VIIRS,n,2,281.86,0.64,N,0
31.46515,76.89269,303.09,0.5,0.49,2024-01-09,2110,N20,VIIRS,n,2,278.23,0.98,N,0
29.91068,74.94971,338.04,0.39,0.44,2024-01-10,827,N20,VIIRS,n,2,290.61,8.98,D,2
29.9096,74.9538,341.89,0.38,0.44,2024-01-10,827,N20,VIIRS,n,2,289.75,9.14,D,2
31.45731,76.89766,331.08,0.52,0.5,2024-01-10,827,N20,VIIRS,n,2,294.33,4.59,D,0
31.73255,76.81454,340.15,0.52,0.5,2024-01-10,827,N20,VIIRS,n,2,299.72,4.91,D,0
31.7294,76.57787,328.33,0.5,0.49,2024-01-10,827,N20,VIIRS,n,2,294.55,3.42,D,0
31.45756,76.8912,320.39,0.44,0.38,2024-01-10,2051,N20,VIIRS,n,2,283.81,2.48,N,0
31.45684,76.89513,305.37,0.44,0.38,2024-01-10,2051,N20,VIIRS,n,2,282.96,1.08,N,0
29.91143,74.95168,330.28,0.4,0.37,2024-01-10,2051,N20,VIIRS,n,2,281.02,1.89,N,2
29.91212,74.94759,315.21,0.4,0.37,2024-01-10,2051,N20,VIIRS,n,2,279.91,2.19,N,2
29.90809,74.95094,307.0,0.4,0.37,2024-01-10,2051,N20,VIIRS,n,2,280.2,1.89,N,2
31.9744,76.82459,300.21,0.43,0.38,2024-01-10,2051,N20,VIIRS,n,2,282.37,0.78,N,0
31.97785,76.82536,298.47,0.43,0.38,2024-01-10,2051,N20,VIIRS,n,2,282.25,0.78,N,0
32.31016,76.54747,299.7,0.42,0.38,2024-01-10,2051,N20,VIIRS,n,2,273.94,0.86,N,0
32.44445,76.04371,303.59,0.41,0.37,2024-01-10,2051,N20,VIIRS,n,2,280.96,0.87,N,0
32.44805,76.14371,295.66,0.41,0.37,2024-01-10,2051,N20,VIIRS,n,2,274.74,0.29,N,0
32.47651,76.70724,305.4,0.42,0.38,2024-01-10,2051,N20,VIIRS,n,2,273.78,1.47,N,0
32.12877,76.69858,328.67,0.44,0.39,2024-01-11,809,N20,VIIRS,n,2,291.42,2.92,D,0
32.30198,76.68749,304.8,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,275.83,7.31,N,0
32.30414,76.6722,296.64,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,268.77,1.06,N,0
32.32494,76.52266,304.14,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,276.7,0.95,N,0
32.30477,76.69235,311.98,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,276.26,1.84,N,0
32.30537,76.68806,296.66,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,274.8,1.09,N,0
32.30593,76.6841,299.54,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,272.33,1.09,N,0
32.30877,76.6886,312.81,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,275.19,1.09,N,0
32.33653,76.56474,311.77,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,278.18,1.5,N,0
32.33719,76.56001,300.39,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,276.26,0.86,N,0
32.34123,76.55605,302.54,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,275.51,0.86,N,0
31.44234,76.8953,328.66,0.4,0.37,2024-01-11,2032,N20,VIIRS,n,2,282.57,2.33,N,0
31.44172,76.89956,305.64,0.4,0.37,2024-01-11,2032,N20,VIIRS,n,2,282.28,1.33,N,0
31.9748,76.82319,296.95,0.4,0.37,2024-01-11,2032,N20,VIIRS,n,2,283.3,1.2,N,0
32.12829,76.70094,310.37,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,278.8,1.25,N,0
32.2985,76.56248,313.11,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,275.03,1.34,N,0
32.29575,76.68243,311.39,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,274.68,2.29,N,0
32.2963,76.6785,303.15,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,274.48,0.8,N,0
32.29913,76.68307,343.8,0.41,0.37,2024-01-11,2032,N20,VIIRS,n,2,283.5,7.31,N,0
29.9107,74.94929,317.26,0.44,0.39,2024-01-11,2032,N20,VIIRS,n,2,279.37,1.57,N,2
31.43527,76.89964,332.48,0.4,0.37,2024-01-12,750,N20,VIIRS,n,2,299.81,4.89,D,0
31.43721,76.89053,335.74,0.4,0.37,2024-01-12,750,N20,VIIRS,n,2,300.33,6.38,D,0
32.47068,76.38523,299.56,0.46,0.47,2024-01-12,2013,N20,VIIRS,n,2,277.76,1.84,N,0
32.46634,76.38452,322.68,0.46,0.47,2024-01-12,2013,N20,VIIRS,n,2,280.38,1.84,N,0
32.4669,76.37892,314.18,0.46,0.47,2024-01-12,2013,N20,VIIRS,n,2,278.73,1.84,N,0
32.35515,76.55659,297.66,0.45,0.47,2024-01-12,2013,N20,VIIRS,n,2,265.96,8.92,N,0
32.35104,76.55415,324.41,0.45,0.47,2024-01-12,2013,N20,VIIRS,n,2,269.22,8.92,N,0
32.3505,76.55953,348.07,0.45,0.47,2024-01-12,2013,N20,VIIRS,n,2,275.36,8.92,N,0
32.34989,76.56553,303.39,0.45,0.47,2024-01-12,2013,N20,VIIRS,n,2,266.43,2.28,N,0
32.34644,76.55662,340.53,0.45,0.47,2024-01-12,2013,N20,VIIRS,n,2,274.04,4.95,N,0
32.34581,76.56284,325.92,0.45,0.47,2024-01-12,2013,N20,VIIRS,n,2,271.12,3.13,N,0
32.34702,76.55078,303.91,0.45,0.47,2024-01-12,2013,N20,VIIRS,n,2,270.18,4.95,N,0
32.22516,76.48345,321.77,0.46,0.47,2024-01-12,2013,N20,VIIRS,n,2,275.61,4.28,N,0
32.21715,76.47595,297.19,0.46,0.47,2024-01-12,2013,N20,VIIRS,n,2,274.05,1.12,N,0
32.21257,76.47799,323.33,0.46,0.47,2024-01-12,2013,N20,VIIRS,n,2,276.02,4.31,N,0
31.43327,76.89732,296.86,0.42,0.45,2024-01-12,2013,N20,VIIRS,n,2,270.07,0.78,N,0
32.21922,76.47704,341.54,0.42,0.45,2024-01-13,731,N20,VIIRS,n,2,301.1,8.39,D,0
32.21671,76.47291,336.97,0.42,0.45,2024-01-13,731,N20,VIIRS,n,2,291.58,8.04,D,0
