acq_date,Latitude,Longitude,dist_to_delhi,Telemetry Hourly Wind Speed (Km/Hr),windspeed,brightness,frp,avg_wei_frp,bright_t31,daynight,tempmax,tempmin,temp,humidity,precip,precipcover,sealevelpressure,tempmax_humidity,tempmin_humidity,temp_humidity,temp_range,heat_index,conditions,AQI,weighted_distance,daynight_encoded,conditions_encoded,month,year
2021-04-12,30.14083333,74.20777778,336.0282773965335,40.4,18.4,78538.0,11170.800000000001,19157.4,299.59,D,38.7,20.9,29.8,28.0,0.0,0.0,1011.6,1083.6,585.2,834.4,17.8,115.2019748,Clear,226,18.262406380246382,1.0,1.0,4,2021
2021-04-13,30.14083333,74.20777778,204.1542055789822,28.4,18.5,62997.05,1096.86,2109.183,308.77,D,39.4,21.0,30.5,28.5,0.0,0.0,1010.0,1122.9,598.5,869.25,18.4,115.1464441,Clear,279,11.035362463728768,1.0,1.0,4,2021
2021-04-14,30.14083333,74.20777778,76.60220092949112,32.0,18.4,33764.0,1193.24,4759.99,314.75,D,39.6,22.8,31.5,25.0,0.0,0.0,1008.7,990.0,570.0,787.5,16.8,103.7440225,Partially cloudy,214,4.163163093994083,1.0,0.0,4,2021
2021-04-15,30.14083333,74.20777778,70.62718400613583,32.0,19.8,33100.65,223.73999999999998,755.631,308.14,D,40.1,24.0,31.3,23.9,0.0,0.0,1007.5,958.39,573.6,748.07,16.1,100.9412288,Partially cloudy,235,3.5670294952593853,1.0,0.0,4,2021
2021-04-16,30.14083333,74.20777778,116.07397424953798,28.4,37.1,9688.0,85.39999999999999,1055.3,310.36,D,39.6,21.0,28.8,39.5,0.894,4.17,1006.8,1564.2,829.5,1137.6,18.6,146.4157824,"Rain, Partially cloudy",232,3.1286785512004847,1.0,0.0,4,2021
2021-04-17,30.21305556,74.64611111,70.11590169156783,0.0,21.2,11013.75,133.32,1348.35,296.79,D,33.0,19.8,26.7,54.0,0.0,0.0,1009.5,1782.0,1069.2,1441.8,13.2,180.8587962,Partially cloudy,142,3.307353853375841,1.0,0.0,4,2021
2021-12-02,30.71777778,76.19694444,675.0548541105245,14.9,13.0,2742.64,44.72,1916.4197,289.26,D,19.3,14.2,16.6,89.3,1.0,4.17,1017.5,1723.49,1268.06,1482.38,5.1,263.9946628,"Rain, Partially cloudy",429,51.927296470040346,1.0,0.0,12,2021
2021-12-22,30.71777778,76.19694444,160.0125532333076,256.0,16.6,12888.460000000001,285.76,2550.5584,297.28,D,22.8,7.0,14.2,65.4,0.0,0.0,1015.2,1491.12,457.8,928.68,15.8,271.8084764,Clear,428,9.639310435741422,1.0,1.0,12,2021
2021-12-23,30.14083333,74.20777778,36.54935985256498,92.0,13.0,13684.98,185.73000000000002,1512.0234,289.79,D,22.0,8.1,14.6,70.3,0.0,0.0,1014.3,1546.6,569.43,1026.38,13.9,275.4106995,Partially cloudy,468,2.811489219428076,1.0,0.0,12,2021
2021-12-24,30.14083333,74.20777778,74.90924327014321,0.0,11.2,9852.9,35.4,387.5474,291.0,D,22.3,8.8,15.2,76.6,0.0,0.0,1014.0,1708.18,674.08,1164.32,13.5,275.9436258,Clear,473,6.688325291977073,1.0,1.0,12,2021
2021-12-25,30.14083333,74.20777778,529.598830699622,0.0,7.6,21540.04,198.4,1111.7440000000001,294.77,D,23.0,9.0,15.5,80.0,0.0,0.0,1016.0,1840.0,720.0,1240.0,14.0,274.8341554,Clear,467,69.68405667100289,1.0,1.0,12,2021
2021-12-26,30.14083333,74.20777778,24.971177374126004,0.0,11.2,592.52,1.2,177.756,283.1,N,20.7,11.5,15.7,88.0,1.299,8.33,1018.0,1821.6,1012.0,1381.6,9.2,272.2327309,"Rain, Partially cloudy",490,2.229569408404108,0.0,0.0,12,2021
2021-12-27,30.14083333,74.20777778,324.8752135620223,0.0,9.4,7166.280000000001,52.580000000000005,778.5186000000001,290.85,D,21.7,11.6,15.4,80.5,0.0,0.0,1019.4,1746.85,933.8,1239.7,10.1,275.7419898,Partially cloudy,279,34.56119293213003,1.0,0.0,12,2021
2021-12-28,30.140833330000003,74.20777778,315.15731680826514,0.0,7.599999999999999,2985.66,18.18,670.1148000000001,290.54,D,17.0,10.9,14.2,88.7,1.85,8.33,1018.5,1507.9,966.83,1259.54,6.1,284.7764349,"Rain, Partially cloudy",343,41.46806800108752,1.0,0.0,12,2021
2021-12-29,30.14083333,74.20777778,68.5817143501553,0.0,14.8,9488.8,63.51,716.568,291.2,D,20.4,10.2,14.0,82.9,0.0,0.0,1019.3,1691.16,845.58,1160.6,10.2,287.6095107,Partially cloudy,284,4.633899618253736,1.0,0.0,12,2021
