date,avg_aqi,mean_temp,humidity,mean_wind_kmh,std_wind_kmh,fire_count,total_frp
2020-01-01,,,,,,486.0,1569.68
2020-01-02,,,,,,319.0,1003.92
2020-01-03,,,,,,299.0,837.23
2020-01-04,,,,,,361.0,1060.21
2020-01-05,,,,,,698.0,1964.12
2020-01-06,,,,,,725.0,2045.32
2020-01-07,,,,,,725.0,1863.08
2020-01-08,,,,,,336.0,1031.59
2020-01-09,,,,,,343.0,894.09
2020-01-10,,,,,,696.0,1922.67
2020-01-11,,,,,,849.0,2821.6
2020-01-12,,,,,,991.0,2695.06
2020-01-13,,,,,,966.0,3172.75
2020-01-14,,,,,,727.0,2849.56
2020-01-15,,,,,,875.0,3530.96
2020-01-16,,,,,,804.0,2616.4
2020-01-17,,,,,,736.0,3182.15
2020-01-18,,,,,,792.0,3034.4
2020-01-19,,,,,,430.0,1399.57
2020-01-20,,,,,,608.0,1696.21
2020-01-21,,,,,,834.0,2321.22
2020-01-22,,,,,,760.0,2930.69
2020-01-23,,,,,,825.0,3047.91
2020-01-24,,,,,,865.0,2994.36
2020-01-25,,,,,,930.0,3442.35
2020-01-26,,,,,,1036.0,3902.02
2020-01-27,,,,,,801.0,2952.09
2020-01-28,,,,,,548.0,1898.08
2020-01-29,,,,,,496.0,2085.22
2020-01-30,,,,,,705.0,2485.58
2020-01-31,,,,,,928.0,2992.99
2020-02-01,,,,,,1046.0,3470.44
2020-02-02,,,,,,937.0,2811.02
2020-02-03,,,,,,882.0,2688.16
2020-02-04,,,,,,610.0,3444.36
2020-02-05,,,,,,894.0,3341.65
2020-02-06,,,,,,1060.0,5071.4
2020-02-07,,,,,,704.0,2548.25
2020-02-08,,,,,,867.0,3097.46
2020-02-09,,,,,,824.0,2414.87
2020-02-10,,,,,,895.0,4150.92
2020-02-11,,,,,,1174.0,5825.55
2020-02-12,,,,,,1123.0,5540.89
2020-02-13,,,,,,1341.0,6158.13
2020-02-14,,,,,,1207.0,4716.94
2020-02-15,,,,,,1272.0,5729.58
2020-02-16,,,,,,1326.0,5835.12
2020-02-17,,,,,,1635.0,7391.58
2020-02-18,,,,,,1541.0,7183.67
2020-02-19,,,,,,1225.0,5389.65
2020-02-20,,,,,,993.0,6065.84
2020-02-21,,,,,,1197.0,8199.04
2020-02-22,,,,,,1169.0,9598.89
2020-02-23,,,,,,1046.0,4104.68
2020-02-24,,,,,,931.0,6698.75
2020-02-25,,,,,,770.0,4176.01
2020-02-26,,,,,,752.0,2750.84
2020-02-27,,,,,,1230.0,4497.12
2020-02-28,,,,,,1126.0,4656.82
2020-02-29,,,,,,1317.0,7000.25
2020-03-01,,,,,,1030.0,5296.03
2020-03-02,,,,,,1112.0,9001.55
2020-03-03,,,,,,1159.0,8344.94
2020-03-04,,,,,,1272.0,6387.01
2020-03-05,,,,,,898.0,5253.34
2020-03-06,,,,,,519.0,2049.11
2020-03-07,,,,,,423.0,1483.52
2020-03-08,,,,,,736.0,2881.74
2020-03-09,,,,,,1209.0,6619.78
2020-03-10,,,,,,1530.0,22116.34
2020-03-11,,,,,,1574.0,17498.15
2020-03-12,,,,,,1792.0,43524.85
2020-03-13,,,,,,3364.0,87618.01
2020-03-14,,,,,,2879.0,66990.95
2020-03-15,,,,,,1520.0,11937.55
2020-03-16,,,,,,4122.0,68347.42
2020-03-17,,,,,,3323.0,50523.95
2020-03-18,,,,,,3221.0,49825.13
2020-03-19,,,,,,2560.0,34010.12
2020-03-20,,,,,,1790.0,16189.19
2020-03-21,,,,,,2198.0,22063.15
2020-03-22,,,,,,1189.0,5259.02
2020-03-23,,,,,,1507.0,14124.09
2020-03-24,,,,,,2021.0,21506.24
2020-03-25,,,,,,1912.0,23806.82
2020-03-26,,,,,,2758.0,21723.77
2020-03-27,,,,,,3992.0,35347.07
