feature,importance
tempmin_humidity,0.4481576534007619
month,0.19028758286988753
humidity,0.05807677635624862
sealevelpressure,0.033754769331105716
windspeed,0.02683781073723209
temp_range,0.022207945797546556
tempmax_humidity,0.01842696572941165
brightness,0.014820400044991355
temp_humidity,0.012761625542549494
Telemetry Hourly Wind Speed (Km/Hr),0.010968897782063058
tempmax,0.008777208784874303
tempmin,0.0034393773731190348
bright_t31,0.0028831193657863573
precip,0.002106494488344046
conditions_encoded,0.0020710080353009584
frp,0.0008827891481265948
precipcover,0.0003030430895136771
daynight_encoded,8.242390052481952e-07
year,-0.0007339786299311757
avg_wei_frp,-0.004389869339815255
dist_to_delhi,-0.006111705961980118
weighted_distance,-0.007208980944606513
heat_index,-0.009068176123392623
temp,-0.009072013070746532
