feature,importance
PM2.5,0.6376281080475915
PM10,0.3043552660928533
NO2,0.011331372771265849
Ozone,0.006853593320023923
CO,0.006188179124366009
SO2,0.004759769384886659
mean_dist_km,0.0035320688506154403
min_dist_km,0.002823128220045553
max_frp,0.0028001309298050824
fire_count_lag1,0.002632507865859535
weighted_frp_lag1,0.0023232083490132994
mean_frp,0.0023114965539859237
fire_count,0.0023063188351990964
mean_wind_lag1,0.001999966580515061
total_frp_lag1,0.0019237553544199308
weighted_frp_fw,0.001894334272951434
total_frp,0.0015468782449723456
mean_wind_kmh,0.001527431935221145
std_wind_kmh,0.0012624852664089915
fire_wind_alignment01,0.0
weighted_frp_aligned,0.0
mean_wind_dir_sin,0.0
mean_wind_dir_cos,0.0
