number,value,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,37.78271900096667,False,39,0.7,4,10,437,COMPLETE
1,36.250132224634186,True,39,0.7,2,11,118,COMPLETE
2,43.13421075464958,True,8,log2,3,5,651,COMPLETE
3,44.88461727552808,True,9,sqrt,6,2,647,COMPLETE
4,44.81213000946173,True,21,log2,6,2,209,COMPLETE
5,44.0183808924888,False,32,log2,6,12,973,COMPLETE
6,37.784903961713816,False,13,0.7,3,11,450,COMPLETE
7,37.709664678614295,True,10,0.5,5,2,795,COMPLETE
8,37.37111281702837,True,26,0.5,1,5,877,COMPLETE
9,43.01661310559583,False,30,sqrt,4,10,207,COMPLETE
10,36.212171922212626,True,38,0.7,1,8,118,COMPLETE
11,36.07661718850669,True,40,0.7,1,8,107,COMPLETE
12,36.27805570313269,True,40,0.7,1,8,304,COMPLETE
13,36.30968938309677,True,35,0.7,2,7,106,COMPLETE
14,36.29820081326825,True,20,0.7,1,8,331,COMPLETE
15,36.38842146243847,True,29,0.7,2,6,320,COMPLETE
16,36.13130362305316,True,35,0.7,2,9,212,COMPLETE
17,36.95201109913838,True,34,0.5,2,9,474,COMPLETE
18,42.228234639286306,False,24,sqrt,3,4,226,COMPLETE
19,38.88576943173691,True,3,0.7,2,7,577,COMPLETE
20,36.386718355513196,True,17,0.7,1,9,379,COMPLETE
21,36.26374843532848,True,36,0.7,1,8,154,COMPLETE
22,36.21185289420087,True,35,0.7,1,9,249,COMPLETE
23,36.22014200969308,True,32,0.7,2,9,261,COMPLETE
24,35.977541319669584,True,27,0.7,1,10,214,COMPLETE
25,36.30626580616801,True,26,0.7,2,12,179,COMPLETE
26,42.21588190214866,False,28,log2,3,10,387,COMPLETE
27,37.3595616173354,True,37,0.5,1,11,541,COMPLETE
28,42.63652011991034,True,32,sqrt,2,6,269,COMPLETE
29,37.81070108708177,False,40,0.7,4,10,384,COMPLETE
30,36.245782670167465,True,18,0.7,5,7,160,COMPLETE
31,36.2797434829082,True,34,0.7,1,9,259,COMPLETE
32,36.202857624302524,True,37,0.7,1,9,112,COMPLETE
33,36.18524329977182,True,38,0.7,1,11,127,COMPLETE
34,36.39507427254094,True,40,0.7,2,11,172,COMPLETE
35,43.568255350469954,True,38,log2,1,12,103,COMPLETE
36,36.41978198824007,True,31,0.7,2,10,192,COMPLETE
37,36.31777322499811,True,23,0.7,1,11,741,COMPLETE
38,42.238862711808196,False,27,sqrt,3,10,295,COMPLETE
39,43.0054892527245,True,34,log2,1,11,504,COMPLETE
40,37.23154774562651,True,38,0.5,2,8,149,COMPLETE
41,36.225083799700485,True,37,0.7,1,9,100,COMPLETE
42,36.225538572319934,True,33,0.7,1,11,229,COMPLETE
43,35.93447852476372,True,36,0.7,1,10,200,COMPLETE
44,36.03451588297121,True,30,0.7,1,12,210,COMPLETE
45,36.214581035387624,True,30,0.7,2,12,339,COMPLETE
46,39.02378030256713,False,25,0.7,1,10,182,COMPLETE
47,36.37572758834096,True,29,0.7,3,8,208,COMPLETE
48,44.24411233154744,True,31,sqrt,5,6,423,COMPLETE
49,41.95668210779247,True,35,log2,1,3,293,COMPLETE
50,37.196612620908425,True,28,0.5,2,12,351,COMPLETE
51,36.22258515054263,True,39,0.7,1,11,139,COMPLETE
52,35.995706115954285,True,36,0.7,1,10,224,COMPLETE
53,35.983767290524874,True,33,0.7,1,10,226,COMPLETE
54,35.9245932105208,True,33,0.7,1,10,238,COMPLETE
55,36.38633645695181,True,33,0.7,1,10,967,COMPLETE
56,36.02450654419007,True,30,0.7,1,10,283,COMPLETE
57,35.97102146665763,True,23,0.7,1,10,288,COMPLETE
58,38.92243459496999,False,20,0.7,1,10,249,COMPLETE
59,36.246599214791225,True,24,0.7,2,10,354,COMPLETE
