region,count,mean,median,std,var,min,max,q25,q75,iqr,cv,monthly_var
Anand Vihar,7431,561.0,561.0,0.0,0.0,561.0,561.0,561.0,561.0,0.0,0.0,0.0
Burari,7430,160.0,160.0,0.0,0.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0
Jahangirpuri,7430,256.0,256.0,0.0,0.0,256.0,256.0,256.0,256.0,0.0,0.0,0.0
Jawaharlal Nehru Stadium,7430,223.0,223.0,0.0,0.0,223.0,223.0,223.0,223.0,0.0,0.0,0.0
Jhilmil,7430,207.0,207.0,0.0,0.0,207.0,207.0,207.0,207.0,0.0,0.0,0.0
Lodhi Road,7430,159.0,159.0,0.0,0.0,159.0,159.0,159.0,159.0,0.0,0.0,0.0
Major Dhyan Chand National Stadium,7430,205.0,205.0,0.0,0.0,205.0,205.0,205.0,205.0,0.0,0.0,0.0
Mandir Marg,7430,187.0,187.0,0.0,0.0,187.0,187.0,187.0,187.0,0.0,0.0,0.0
Mathura Road,7430,233.0,233.0,0.0,0.0,233.0,233.0,233.0,233.0,0.0,0.0,0.0
North Campus,7430,164.0,164.0,0.0,0.0,164.0,164.0,164.0,164.0,0.0,0.0,0.0
Parparganj,7430,181.0,181.0,0.0,0.0,181.0,181.0,181.0,181.0,0.0,0.0,0.0
Pusa,7430,185.0,185.0,0.0,0.0,185.0,185.0,185.0,185.0,0.0,0.0,0.0
R.K. Puram,7430,233.0,233.0,0.0,0.0,233.0,233.0,233.0,233.0,0.0,0.0,0.0
Siri Fort,7430,334.0,334.0,0.0,0.0,334.0,334.0,334.0,334.0,0.0,0.0,0.0
Sonia Vihar,7430,212.0,212.0,0.0,0.0,212.0,212.0,212.0,212.0,0.0,0.0,0.0
Sriniwaspuri,7430,305.0,305.0,0.0,0.0,305.0,305.0,305.0,305.0,0.0,0.0,0.0
Wazirpur,7430,195.0,195.0,0.0,0.0,195.0,195.0,195.0,195.0,0.0,0.0,0.0
