region,date,aqi
Anand Vihar,2024-01-01,561.0
Anand Vihar,2024-01-14,561.0
Anand Vihar,2024-01-13,561.0
Anand Vihar,2024-01-12,561.0
Anand Vihar,2024-01-11,561.0
Anand Vihar,2024-01-10,561.0
Anand Vihar,2024-01-09,561.0
Anand Vihar,2024-01-08,561.0
Anand Vihar,2024-01-07,561.0
Anand Vihar,2024-01-06,561.0
Anand Vihar,2024-01-05,561.0
Anand Vihar,2024-01-04,561.0
Anand Vihar,2024-01-30,561.0
Anand Vihar,2024-01-31,561.0
Anand Vihar,2024-02-01,561.0
Anand Vihar,2024-02-09,561.0
Anand Vihar,2024-02-10,561.0
Anand Vihar,2024-02-11,561.0
Anand Vihar,2024-02-12,561.0
Anand Vihar,2024-02-13,561.0
