region,date,aqi
Anand Vihar,2024-01-01,561.0
Anand Vihar,2024-01-02,561.0
Anand Vihar,2024-01-03,561.0
Siri Fort,2024-01-01,334.0
Siri Fort,2024-01-02,334.0
Siri Fort,2024-01-03,334.0
Sriniwaspuri,2024-01-01,305.0
Sriniwaspuri,2024-01-02,305.0
Sriniwaspuri,2024-01-03,305.0
Jahangirpuri,2024-01-01,256.0
Jahangirpuri,2024-01-02,256.0
Jahangirpuri,2024-01-03,256.0
Mathura Road,2024-01-01,233.0
Mathura Road,2024-01-02,233.0
Mathura Road,2024-01-03,233.0
R.K. Puram,2024-01-01,233.0
R.K. Puram,2024-01-02,233.0
R.K. Puram,2024-01-03,233.0
